RMSE, MAE
1.1373046788331713,0.8591499552598535
1.040964519863045,0.7975388391528581
1.0586490186100783,0.8173086639732741
1.0979894295459052,0.8528766766190427
1.1052281309278469,0.8555305202760562
1.1133429604556437,0.8681782411215103
1.0985206503023734,0.8579842237417415
1.064888119211097,0.8375077537892636
1.0926208307180931,0.8506227011383753
1.1428051875492227,0.8893811662081978
1.1535690909724774,0.9042397030245201
1.1298922702702343,0.88695075097099
1.2238607464037838,0.9637082417443367
1.1995873482606794,0.9357239929110224
1.2328146087083642,0.9665802466058696
1.2430243411706874,0.9733712414622364
1.2057130001238443,0.9418201477938916
1.2626127277204247,0.9888764319917297
1.257901068649704,0.9871719299651485
1.244551220690926,0.9720791579804265
1.2620549104689416,0.981442125785904
1.268659786096111,0.9815186214266123
1.266056825254281,0.984100804131977
1.2721695492324674,0.9950215355601535
1.290734839965418,1.0041114218995266
1.2845471506057047,1.015593488478544
1.285547689993177,0.9987346015810918
1.2844344678356718,0.9980168192365086
1.2931031464335663,1.0117495915240544
1.2870525413266414,1.0017443763407141
1.2895403333039213,1.0070673071390246
1.2830932067009544,1.0032871328308839
1.3103466257617404,1.0237476820672708
